museum_number,animal_id,day,month,year,season,final_identification,field_identification,preparation,locality,dist_village_center,village,grid_name,grid_number,habitat_type,trap_type,trap_number,pitfall_position,latitude,longitude,elevation.obs,sex,tl,tv,hf,ear,mass,hb,testicle_position,testicle_length,testicle_width,epididym,mammae_condition,mammae_number_ax,mammae_number_ab,mammae_number_ing,vagina,embryos_l,embryos_r,embryos_cr,placental_scars_l,placental_scars_r,age_repro,age_dental,habitat_description,notes
NA,NRW03,30,5,2017,3,Rattus rattus,Rattus rattus,"skull, tail","Madagascar, Région SAVA, District Sambava, Commune Rurale Maroambihy, Fokontany Mandena",NA,Mandena,Forest,NA,secondary_forest,Sherman,95,NA,-14.465907,49.79841501,NA,female,365,200,32,30,105,160,NA,NA,NA,NA,small,1,2,2,perf.,NA,NA,NA,3,4,2,2,"old savoka dominated by Aframomum sp. Mongo tree, pineapple and bamboo tree",NA
NA,NRW04,30,5,2017,3,Rattus rattus,Rattus rattus,"skull, tail","Madagascar, Région SAVA, District Sambava, Commune Rurale Maroambihy, Fokontany Mandena",NA,Mandena,Forest,NA,secondary_forest,Sherman,75,NA,-14.46585696,49.79859497,NA,male,340,190,31,20,110,160,scrotal,25,10,con.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,"old savoka dominated by Aframomum sp. Mongo tree, pineapple and bamboo tree",NA
NA,NRW05,30,5,2017,3,Rattus rattus,Rattus rattus,"skull, tail","Madagascar, Région SAVA, District Sambava, Commune Rurale Maroambihy, Fokontany Mandena",NA,Mandena,Forest,NA,secondary_forest,Sherman,12,NA,-14.46550199,49.79901298,NA,male,330,175,34,22,100,160,scrotal,17,10,not con.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,"old savoka dominated by Aframomum sp. Mongo tree, pineapple and bamboo tree",NA
NA,NRW06,30,5,2017,3,Rattus rattus,Rattus rattus,"skull, tail","Madagascar, Région SAVA, District Sambava, Commune Rurale Maroambihy, Fokontany Mandena",NA,Mandena,Forest,NA,secondary_forest,Sherman,100,NA,-14.466324,49.79857896,NA,male,305,160,28,22,54,138,abdominal,8,4,not con.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,"old savoka dominated by Aframomum sp. Mongo tree, pineapple and bamboo tree",NA
NA,NRW07,30,5,2017,3,Rattus rattus,Rattus rattus,"skull, tail","Madagascar, Région SAVA, District Sambava, Commune Rurale Maroambihy, Fokontany Mandena",NA,Mandena,Forest,NA,secondary_forest,Sherman,86,NA,-14.46594103,49.79851099,NA,female,380,215,32,21,145,165,NA,NA,NA,NA,small,1,2,2,perf.,3,0,33x12,NA,NA,3,2,"old savoka dominated by Aframomum sp. Mongo tree, pineapple and bamboo tree",FTA interl labels are incorrect
NA,NRW08,30,5,2017,3,Rattus rattus,Rattus rattus,"skull, tail","Madagascar, Région SAVA, District Sambava, Commune Rurale Maroambihy, Fokontany Mandena",NA,Mandena,Forest,NA,secondary_forest,Sherman,55,NA,-14.46581103,49.79873696,NA,male,395,210,32,23,150,175,scrotal,NA,NA,con.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,"old savoka dominated by Aframomum sp. Mongo tree, pineapple and bamboo tree",FTA interl labels are incorrect
NA,NRW09,30,5,2017,3,Rattus rattus,Rattus rattus,"skull, tail","Madagascar, Région SAVA, District Sambava, Commune Rurale Maroambihy, Fokontany Mandena",NA,Mandena,Forest,NA,secondary_forest,Sherman,56,NA,-14.46588303,49.79876898,NA,female,[340],[130],31,23,150,175,NA,NA,NA,NA,large,1,2,2,perf.,NA,NA,NA,NA,NA,NA,1,"old savoka dominated by Aframomum sp. Mongo tree, pineapple and bamboo tree","FTA interl labels are incorrect, gave birth to 5 babies in trap"
NA,NRW10,30,5,2017,3,Rattus rattus,Rattus rattus,"skull, tail","Madagascar, Région SAVA, District Sambava, Commune Rurale Maroambihy, Fokontany Mandena",NA,Mandena,Forest,NA,secondary_forest,Sherman,64,NA,-14.46577197,49.79860998,NA,female,345,193,23,21,130,183,NA,NA,NA,NA,small,1,2,2,perf.,2,2,26x15,NA,NA,3,2,"old savoka dominated by Aframomum sp. Mongo tree, pineapple and bamboo tree",NA
NA,NRW100,29,6,2017,3,Rattus rattus,Rattus rattus,"skull, tail","Madagascar, Région SAVA, District Sambava, Commune Rurale Maroambihy, Fokontany Mandena",NA,Mandena,Village,NA,agriculture,Sherman,64,NA,-14.47775097,49.81026996,NA,male,366,194,33,21,120,175,scrotal,22,11,con.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,fallow rice field and brush near village,NA
NA,NRW101,29,6,2017,3,Rattus rattus,Rattus rattus,"skull, tail","Madagascar, Région SAVA, District Sambava, Commune Rurale Maroambihy, Fokontany Mandena",NA,Mandena,Village,NA,agriculture,Sherman,61,NA,-14.47782297,49.80999797,NA,male,384,214,33,24,114,175,scrotal,21,11,con.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,fallow rice field and brush near village,NA
NA,NRW102,29,6,2017,3,Rattus rattus,Rattus rattus,"skull, tail","Madagascar, Région SAVA, District Sambava, Commune Rurale Maroambihy, Fokontany Mandena",NA,Mandena,Village,NA,agriculture,Sherman,91,NA,-14.47756799,49.80993703,NA,female,339,174,30,21,106,170,NA,NA,NA,NA,small,1,2,2,perf.,NA,NA,NA,7,7,2,2,fallow rice field and brush near village,NA
NA,NRW103,29,6,2017,3,Rattus rattus,Rattus rattus,"skull, tail","Madagascar, Région SAVA, District Sambava, Commune Rurale Maroambihy, Fokontany Mandena",NA,Mandena,Village,NA,agriculture,Sherman,73,NA,-14.47765298,49.81013199,NA,male,[325],[143],33,23,14,195,scrotal,25,14,con.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,fallow rice field and brush near village,NA
NA,NRW105,30,6,2017,3,Rattus rattus,Rattus rattus,"skull, tail","Madagascar, Région SAVA, District Sambava, Commune Rurale Maroambihy, Fokontany Mandena",NA,Mandena,Village,NA,agriculture,Sherman,53,NA,-14.47786303,49.81016602,NA,female,259,146,28,19,36,115,NA,NA,NA,NA,small,1,2,2,imp.,NA,NA,NA,0,0,1,1,fallow rice field and brush near village,NA
NA,NRW106,30,6,2017,3,Rattus rattus,Rattus rattus,"skull, tail","Madagascar, Région SAVA, District Sambava, Commune Rurale Maroambihy, Fokontany Mandena",NA,Mandena,Village,NA,agriculture,Sherman,54,NA,-14.47782498,49.81021598,NA,male,367,196,32,22,130,170,scrotal,22,12,con.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,fallow rice field and brush near village,NA
NA,NRW107,30,6,2017,3,Rattus rattus,Rattus rattus,"skull, tail","Madagascar, Région SAVA, District Sambava, Commune Rurale Maroambihy, Fokontany Mandena",NA,Mandena,Village,NA,agriculture,Sherman,18,NA,-14.47801701,49.81058202,NA,male,116,59,15,9,7.5,55,abdominal,3,1,not con.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,fallow rice field and brush near village,NA
NA,NRW108,30,6,2017,3,Rattus rattus,Rattus rattus,"skull, tail","Madagascar, Région SAVA, District Sambava, Commune Rurale Maroambihy, Fokontany Mandena",NA,Mandena,Village,NA,agriculture,Sherman,13,NA,-14.47803897,49.81008103,NA,male,131,66,16,10,11,65,abdominal,5,2,not con.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,fallow rice field and brush near village,NA
NA,NRW109,30,6,2017,3,Rattus rattus,Rattus rattus,"skull, tail","Madagascar, Région SAVA, District Sambava, Commune Rurale Maroambihy, Fokontany Mandena",NA,Mandena,Village,NA,agriculture,Sherman,71,NA,-14.47773898,49.80997701,NA,female,289,161,29,20,56,130,NA,NA,NA,NA,small,1,2,2,imp.,NA,NA,NA,0,0,1,1,fallow rice field and brush near village,NA
NA,NRW11,30,5,2017,3,Rattus rattus,Rattus rattus,"skull, tail","Madagascar, Région SAVA, District Sambava, Commune Rurale Maroambihy, Fokontany Mandena",NA,Mandena,Forest,NA,secondary_forest,Sherman,82,NA,-14.46562696,49.79839096,NA,female,365,195,31,21,109,170,NA,NA,NA,NA,small,1,2,2,perf.,1,5,6x3,NA,NA,3,2,"old savoka dominated by Aframomum sp. Mongo tree, pineapple and bamboo tree",NA
NA,NRW110,30,6,2017,3,Rattus rattus,Rattus rattus,"skull, tail","Madagascar, Région SAVA, District Sambava, Commune Rurale Maroambihy, Fokontany Mandena",NA,Mandena,Village,NA,agriculture,Sherman,2,NA,-14.47824902,49.81009201,NA,female,251,138,30,19,35,115,NA,NA,NA,NA,small,1,2,2,imp.,NA,NA,NA,0,0,1,1,fallow rice field and brush near village,"Coccidian sample may not be viable, exposed to EtOH"
NA,NRW111,30,6,2017,3,Rattus rattus,Rattus rattus,"skull, tail","Madagascar, Région SAVA, District Sambava, Commune Rurale Maroambihy, Fokontany Mandena",NA,Mandena,Village,NA,agriculture,Sherman,43,NA,-14.47793302,49.81014499,NA,female,254,140,28,19,41,115,NA,NA,NA,NA,small,1,2,2,imp.,NA,NA,NA,0,0,1,1,fallow rice field and brush near village,NA
NA,NRW112,30,6,2017,3,Rattus rattus,Rattus rattus,"skull, tail","Madagascar, Région SAVA, District Sambava, Commune Rurale Maroambihy, Fokontany Mandena",NA,Mandena,Village,NA,agriculture,Sherman,95,NA,-14.47747101,49.81025797,NA,female,281,154,29,21,57,130,NA,NA,NA,NA,small,1,2,2,imp.,NA,NA,NA,0,0,1,1,fallow rice field and brush near village,NA
NA,NRW113,30,6,2017,3,Rattus rattus,Rattus rattus,"skull, tail","Madagascar, Région SAVA, District Sambava, Commune Rurale Maroambihy, Fokontany Mandena",NA,Mandena,Village,NA,agriculture,Sherman,91,NA,-14.47756799,49.80993703,NA,female,387,199,34,23,128,190,NA,NA,NA,NA,small,1,2,2,perf.,NA,NA,NA,8,8,2,1,fallow rice field and brush near village,NA
NA,NRW114,30,6,2017,3,Rattus rattus,Rattus rattus,"skull, tail","Madagascar, Région SAVA, District Sambava, Commune Rurale Maroambihy, Fokontany Mandena",NA,Mandena,Village,NA,agriculture,Sherman,59,NA,-14.47769003,49.81054304,NA,male,360,195,35,22,140,170,scrotal,25,14,con.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,fallow rice field and brush near village,NA
NA,NRW115,30,6,2017,3,Rattus rattus,Rattus rattus,"skull, tail","Madagascar, Région SAVA, District Sambava, Commune Rurale Maroambihy, Fokontany Mandena",NA,Mandena,Village,NA,agriculture,Sherman,52,NA,-14.47787401,49.81007801,NA,female,319,180,31,20,62,140,NA,NA,NA,NA,small,1,2,2,perf.,NA,NA,NA,2,2,2,2,fallow rice field and brush near village,NA
NA,NRW116,30,6,2017,3,Rattus rattus,Rattus rattus,"skull, tail","Madagascar, Région SAVA, District Sambava, Commune Rurale Maroambihy, Fokontany Mandena",NA,Mandena,Village,NA,agriculture,Sherman,61,NA,-14.47782297,49.80999797,NA,male,343,177,30,22,118,170,scrotal,22,11,con.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,fallow rice field and brush near village,NA
NA,NRW117,30,6,2017,3,Rattus rattus,Rattus rattus,"skull, tail","Madagascar, Région SAVA, District Sambava, Commune Rurale Maroambihy, Fokontany Mandena",NA,Mandena,Village,NA,agriculture,Sherman,73,NA,-14.47765298,49.81013199,NA,male,[385],[204],32,22,172,190,scrotal,23,11,con.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,fallow rice field and brush near village,NA
NA,NRW118,30,6,2017,3,Rattus rattus,Rattus rattus,"skull, tail","Madagascar, Région SAVA, District Sambava, Commune Rurale Maroambihy, Fokontany Mandena",NA,Mandena,Village,NA,agriculture,Sherman,78,NA,-14.47753304,49.81047599,NA,male,346,190,30,21,106,165,scrotal,23,11,con.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,fallow rice field and brush near village,NA
NA,NRW119,1,7,2017,3,Suncus murinus,Suncus murinus,pickle,"Madagascar, Région SAVA, District Sambava, Commune Rurale Maroambihy, Fokontany Mandena",NA,Mandena,Village,NA,agriculture,Sherman,58,NA,-14.47770696,49.81052804,NA,female,167,60,16,9,27,105,NA,NA,NA,NA,large,1,2,2,perf.,2,3,5x4,NA,NA,3,2,NA,NA
NA,NRW12,30,5,2017,3,Rattus rattus,Rattus rattus,"skull, tail","Madagascar, Région SAVA, District Sambava, Commune Rurale Maroambihy, Fokontany Mandena",NA,Mandena,Forest,NA,secondary_forest,Sherman,37,NA,-14.46591002,49.79898096,NA,female,367,197,30,22,115,170,NA,NA,NA,NA,small,1,2,2,perf.,NA,NA,NA,6,3,NA,2,"old savoka dominated by Aframomum sp. Mongo tree, pineapple and bamboo tree",NA
NA,NRW121,1,7,2017,3,Suncus murinus,Suncus murinus,pickle,"Madagascar, Région SAVA, District Sambava, Commune Rurale Maroambihy, Fokontany Mandena",NA,Mandena,Village,NA,agriculture,Sherman,65,NA,-14.47771903,49.81033199,NA,male,174,62,17,11,40,110,abdominal,6,4,not con.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA
NA,NRW122,1,7,2017,3,Mus musculus,Mus musculus,pickle,"Madagascar, Région SAVA, District Sambava, Commune Rurale Maroambihy, Fokontany Mandena",NA,Mandena,Village,NA,agriculture,Sherman,36,NA,-14.47794702,49.81042704,NA,male,129,66,15,11,10,65,scrotal,4,3,not con.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
NA,NRW123,1,7,2017,3,Rattus rattus,Rattus rattus,"skull, tail","Madagascar, Région SAVA, District Sambava, Commune Rurale Maroambihy, Fokontany Mandena",NA,Mandena,Village,NA,agriculture,Sherman,30,NA,-14.477857,49.81067698,NA,male,220,117,25,18,26,105,abdominal,5,3,not con.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
NA,NRW124,1,7,2017,3,Rattus rattus,Rattus rattus,"skull, tail","Madagascar, Région SAVA, District Sambava, Commune Rurale Maroambihy, Fokontany Mandena",NA,Mandena,Village,NA,agriculture,Sherman,21,NA,-14.47803503,49.80996,NA,female,204,110,25,17,22,95,NA,NA,NA,NA,small,1,2,2,imp.,NA,NA,NA,0,0,1,1,NA,NA
NA,NRW125,1,7,2017,3,Mus musculus,Mus musculus,pickle,"Madagascar, Région SAVA, District Sambava, Commune Rurale Maroambihy, Fokontany Mandena",NA,Mandena,Village,NA,agriculture,Sherman,14,NA,-14.47805498,49.81021103,NA,male,160,80,17,13,20,80,scrotal,8,4,not con.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,NA,NA
NA,NRW126,1,7,2017,3,Rattus rattus,Rattus rattus,"skull, tail","Madagascar, Région SAVA, District Sambava, Commune Rurale Maroambihy, Fokontany Mandena",NA,Mandena,Village,NA,agriculture,Sherman,71,NA,-14.47773898,49.80997701,NA,female,375,210,31,23,128,170,NA,NA,NA,NA,small,1,2,2,perf.,NA,NA,NA,8,8,2,2,NA,NA
NA,NRW127,1,7,2017,3,Rattus rattus,Rattus rattus,"skull, tail","Madagascar, Région SAVA, District Sambava, Commune Rurale Maroambihy, Fokontany Mandena",NA,Mandena,Village,NA,agriculture,Sherman,48,NA,-14.477785,49.81060398,NA,male,217,116,25,19,27,105,abdominal,6,3,not con.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
NA,NRW128,1,7,2017,3,Mus musculus,Mus musculus,pickle,"Madagascar, Région SAVA, District Sambava, Commune Rurale Maroambihy, Fokontany Mandena",NA,Mandena,Village,NA,agriculture,Sherman,32,NA,-14.47796001,49.80999998,NA,male,130,65,15,11,10,65,scrotal,4,2,not con.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
NA,NRW129,1,7,2017,3,Rattus rattus,Rattus rattus,"skull, tail","Madagascar, Région SAVA, District Sambava, Commune Rurale Maroambihy, Fokontany Mandena",NA,Mandena,Village,NA,agriculture,Sherman,9,NA,-14.47803201,49.81070599,NA,male,210,115,25,16,22,95,abdominal,6,3,not con.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
NA,NRW130,1,7,2017,3,Mus musculus,Mus musculus,pickle,"Madagascar, Région SAVA, District Sambava, Commune Rurale Maroambihy, Fokontany Mandena",NA,Mandena,Village,NA,agriculture,Sherman,35,NA,-14.47793101,49.81031497,NA,male,160,80,16,13,NA,82,scrotal,6,3,not con.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA
NA,NRW131,1,7,2017,3,Mus musculus,Mus musculus,pickle,"Madagascar, Région SAVA, District Sambava, Commune Rurale Maroambihy, Fokontany Mandena",NA,Mandena,Village,NA,agriculture,Sherman,6,NA,-14.47814601,49.81043701,NA,female,149,72,15,12,18,80,NA,NA,NA,NA,large,1,2,2,perf.,2,4,8x6,NA,NA,3,2,NA,NA
NA,NRW132,1,7,2017,3,Rattus rattus,Rattus rattus,"skull, tail","Madagascar, Région SAVA, District Sambava, Commune Rurale Maroambihy, Fokontany Mandena",NA,Mandena,Village,NA,agriculture,Sherman,61,NA,-14.47782297,49.80999797,NA,male,372,199,33,23,132,180,scrotal,22,10,con.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,NA,NA
NA,NRW134,1,7,2017,3,Rattus rattus,Rattus rattus,"skull, tail","Madagascar, Région SAVA, District Sambava, Commune Rurale Maroambihy, Fokontany Mandena",NA,Mandena,Village,NA,agriculture,Sherman,52,NA,-14.47787401,49.81007801,NA,male,330,191,32,20,69,145,abdominal,6,3,not con.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA
NA,NRW137,2,7,2017,3,Rattus rattus,Rattus rattus,"skull, tail","Madagascar, Région SAVA, District Sambava, Commune Rurale Maroambihy, Fokontany Mandena",NA,Mandena,Village,NA,agriculture,Sherman,41,NA,-14.47795498,49.81000802,NA,male,205,111,26,17,21,90,abdominal,5,3,not con.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
NA,NRW138,2,7,2017,3,Mus musculus,Mus musculus,pickle,"Madagascar, Région SAVA, District Sambava, Commune Rurale Maroambihy, Fokontany Mandena",NA,Mandena,Village,NA,agriculture,Sherman,13,NA,-14.47803897,49.81008103,NA,female,130,68,15,11,8,67,NA,NA,NA,NA,small,1,2,2,imp.,NA,NA,NA,0,0,1,1,NA,NA
NA,NRW139,2,7,2017,3,Rattus rattus,Rattus rattus,"skull, tail","Madagascar, Région SAVA, District Sambava, Commune Rurale Maroambihy, Fokontany Mandena",NA,Mandena,Village,NA,agriculture,Sherman,11,NA,-14.47812798,49.80992001,NA,male,212,113,27,17,22,97,abdominal,6,3,not con.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
NA,NRW140,2,7,2017,3,Suncus murinus,Suncus murinus,pickle,"Madagascar, Région SAVA, District Sambava, Commune Rurale Maroambihy, Fokontany Mandena",NA,Mandena,Village,NA,agriculture,Sherman,48,NA,-14.477785,49.81060398,NA,female,156,56,17,10,20,100,NA,NA,NA,NA,small,1,2,2,imp.,NA,NA,NA,0,0,1,1,NA,NA
NA,NRW141,2,7,2017,3,Mus musculus,Mus musculus,pickle,"Madagascar, Région SAVA, District Sambava, Commune Rurale Maroambihy, Fokontany Mandena",NA,Mandena,Village,NA,agriculture,Sherman,27,NA,-14.47794199,49.81049703,NA,male,110,57,14,10,6,50,abdominal,2,1,not con.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
NA,NRW142,2,7,2017,3,Mus musculus,Mus musculus,pickle,"Madagascar, Région SAVA, District Sambava, Commune Rurale Maroambihy, Fokontany Mandena",NA,Mandena,Village,NA,agriculture,Sherman,35,NA,-14.47793101,49.81031497,NA,female,134,74,16,12,10,60,NA,NA,NA,NA,small,1,2,2,imp.,NA,NA,NA,0,0,1,1,NA,NA
NA,NRW143,3,7,2017,3,Setifer setosus,Setifer setosus,pickle,"Madagascar, Région SAVA, District Sambava, Commune Rurale Maroambihy, Fokontany Mandena",NA,Mandena,Village,NA,agriculture,Sherman,73,NA,-14.47765298,49.81013199,NA,male,205,15,30,21,182,190,abdominal,10,6,not con.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,NA,"Kidney stored in 15mL falcon tube, specimen had bumps that looked like mammae but had testes inside"
NA,NRW144,3,7,2017,3,Rattus rattus,Rattus rattus,"skull, tail","Madagascar, Région SAVA, District Sambava, Commune Rurale Maroambihy, Fokontany Mandena",NA,Mandena,Village,NA,agriculture,Sherman,50,NA,-14.477671,49.81062803,NA,female,226,124,26,20,33,100,NA,NA,NA,NA,small,1,2,2,imp.,NA,NA,NA,0,0,1,1,NA,NA
NA,NRW145,3,7,2017,3,Rattus rattus,Rattus rattus,"skull, tail","Madagascar, Région SAVA, District Sambava, Commune Rurale Maroambihy, Fokontany Mandena",NA,Mandena,Village,NA,agriculture,Sherman,41,NA,-14.47795498,49.81000802,NA,female,216,117,26,18,29,100,NA,NA,NA,NA,small,1,2,2,imp.,NA,NA,NA,0,0,1,1,NA,NA
NA,NRW146,3,7,2017,3,Rattus rattus,Rattus rattus,"skull, tail","Madagascar, Région SAVA, District Sambava, Commune Rurale Maroambihy, Fokontany Mandena",NA,Mandena,Village,NA,agriculture,Sherman,21,NA,-14.47803503,49.80996,NA,female,297,163,30,19,71,135,NA,NA,NA,NA,small,1,2,2,imp.,NA,NA,NA,0,0,1,1,NA,NA
NA,NRW147,3,7,2017,3,Mus musculus,Mus musculus,pickle,"Madagascar, Région SAVA, District Sambava, Commune Rurale Maroambihy, Fokontany Mandena",NA,Mandena,Village,NA,agriculture,Sherman,5,NA,-14.47816101,49.81036702,NA,male,145,74,16,12,8.7,67,scrotal,4,2,not con.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
NA,NRW148,3,7,2017,3,Mus musculus,Mus musculus,pickle,"Madagascar, Région SAVA, District Sambava, Commune Rurale Maroambihy, Fokontany Mandena",NA,Mandena,Village,NA,agriculture,Sherman,3,NA,-14.47822798,49.81018203,NA,female,157,78,16,13,15,75,NA,NA,NA,NA,small,1,2,2,perf.,4,2,2x2,NA,NA,3,2,NA,NA
NA,NRW149,3,7,2017,3,Mus musculus,Mus musculus,pickle,"Madagascar, Région SAVA, District Sambava, Commune Rurale Maroambihy, Fokontany Mandena",NA,Mandena,Village,NA,agriculture,Sherman,22,NA,-14.47798901,49.81004398,NA,male,144,77,17,11,9.6,67,scrotal,4,2,not con.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
NA,NRW150,3,7,2017,3,Suncus murinus,Suncus murinus,pickle,"Madagascar, Région SAVA, District Sambava, Commune Rurale Maroambihy, Fokontany Mandena",NA,Mandena,Village,NA,agriculture,Sherman,98,NA,-14.47735601,49.81048998,NA,female,147,56,15,9,11,90,NA,NA,NA,NA,small,1,2,2,imp.,NA,NA,NA,0,0,1,1,NA,NA
NA,NRW151,3,7,2017,3,Rattus rattus,Rattus rattus,"skull, tail","Madagascar, Région SAVA, District Sambava, Commune Rurale Maroambihy, Fokontany Mandena",NA,Mandena,Village,NA,agriculture,Sherman,70,NA,-14.47749498,49.810608,NA,male,220,119,27,18,28,105,abdominal,6,3,not con.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
NA,NRW152,31,5,2017,3,NA,Rattus rattus,NA,"Madagascar, Région SAVA, District Sambava, Commune Rurale Maroambihy, Fokontany Mandena",NA,Mandena,Forest,NA,secondary_forest,NA,55,NA,-14.46581103,49.79873696,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no samples- escape
NA,NRW156,18,6,2017,3,NA,Rattus rattus,NA,"Madagascar, Région SAVA, District Sambava, Commune Rurale Maroambihy, Fokontany Mandena",NA,Mandena,Rice,NA,flooded_rice,NA,63,NA,-14.46818604,49.80113603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no samples- escape
NA,NRW157,19,6,2017,3,NA,Tenrec ecaudatus,NA,"Madagascar, Région SAVA, District Sambava, Commune Rurale Maroambihy, Fokontany Mandena",NA,Mandena,Rice,NA,flooded_rice,NA,40,NA,-14.46808898,49.80183802,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no samples- too large to euthanize
NA,NRW158,19,6,2017,3,NA,Tenrec ecaudatus,NA,"Madagascar, Région SAVA, District Sambava, Commune Rurale Maroambihy, Fokontany Mandena",NA,Mandena,Rice,NA,flooded_rice,NA,49,NA,-14.46805604,49.80169997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no samples- too large to euthanize
NA,NRW18,31,5,2017,3,Rattus rattus,Rattus rattus,"skull, tail","Madagascar, Région SAVA, District Sambava, Commune Rurale Maroambihy, Fokontany Mandena",NA,Mandena,Forest,NA,secondary_forest,Sherman,92,NA,-14.46562696,49.79834402,NA,male,315,165,32,23,60,150,abd. / scrot.,11,6,not con.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,"old savoka dominated by Aframomum sp. Mongo tree, pineapple and bamboo tree",NA
NA,NRW19,31,5,2017,3,Rattus rattus,Rattus rattus,"skull, tail","Madagascar, Région SAVA, District Sambava, Commune Rurale Maroambihy, Fokontany Mandena",NA,Mandena,Forest,NA,secondary_forest,Sherman,80,NA,-14.46626097,49.79873202,NA,female,365,200,28,20,100,165,NA,NA,NA,NA,large,1,2,2,perf.,NA,NA,NA,5,6,3,2,"old savoka dominated by Aframomum sp. Mongo tree, pineapple and bamboo tree",NA
NA,NRW20,31,5,2017,3,Rattus rattus,Rattus rattus,"skull, tail","Madagascar, Région SAVA, District Sambava, Commune Rurale Maroambihy, Fokontany Mandena",NA,Mandena,Forest,NA,secondary_forest,Sherman,47,NA,-14.46591899,49.79886898,NA,female,300,160,30,21,60,142,NA,NA,NA,NA,small,1,2,2,perf.,NA,NA,NA,NA,NA,1,1,"old savoka dominated by Aframomum sp. Mongo tree, pineapple and bamboo tree",NA
NA,NRW21,31,5,2017,3,Rattus rattus,Rattus rattus,"skull, tail","Madagascar, Région SAVA, District Sambava, Commune Rurale Maroambihy, Fokontany Mandena",NA,Mandena,Forest,NA,secondary_forest,Sherman,68,NA,-14.46606601,49.79874099,NA,male,300,150,30,20,50,142,abdominal,2,4,not con.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,"old savoka dominated by Aframomum sp. Mongo tree, pineapple and bamboo tree",NA
NA,NRW22,31,5,2017,3,Rattus rattus,Rattus rattus,"skull, tail","Madagascar, Région SAVA, District Sambava, Commune Rurale Maroambihy, Fokontany Mandena",NA,Mandena,Forest,NA,secondary_forest,Sherman,23,NA,-14.46552303,49.79892899,NA,male,405,205,35,22,150,195,scrotal,21,11,con.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,"old savoka dominated by Aframomum sp. Mongo tree, pineapple and bamboo tree",NA
NA,NRW23,31,5,2017,3,Rattus rattus,Rattus rattus,"skull, tail","Madagascar, Région SAVA, District Sambava, Commune Rurale Maroambihy, Fokontany Mandena",NA,Mandena,Forest,NA,secondary_forest,Sherman,34,NA,-14.46567801,49.798916,NA,female,370,205,30,21,100,170,NA,NA,NA,NA,small,1,2,2,perf.,3,3,4x4,NA,NA,3,2,"old savoka dominated by Aframomum sp. Mongo tree, pineapple and bamboo tree",NA
