museum_number,animal_id,day,month,year,season,final_identification,field_identification,preparation,locality,dist_village_center,village,grid_name,grid_number,habitat_type,trap_type,trap_number,pitfall_position,latitude,longitude,elevation.obs,sex,tl,tv,hf,ear,mass,hb,testicle_position,testicle_length,testicle_width,epididym,mammae_condition,mammae_number_ax,mammae_number_ab,mammae_number_ing,vagina,embryos_l,embryos_r,embryos_cr,placental_scars_l,placental_scars_r,age_repro,age_dental,habitat_description,notes
NA,JPH200,22,7,2018,3,Rattus rattus,Rattus sp.,NA,"Madagascar, Région SAVA, District Sambava, Commune Rurale Maroambihy, Fokontany Mandena",NA,Mandena,Beanamalao,NA,semi-intact_forest,Sherman,19,NA,-14.45803,49.79073,287,female,378,212,29,18,116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,disturbed forest,NA
NA,JPH201,23,7,2018,3,Mus musculus,Mus musculus,NA,"Madagascar, Région SAVA, District Sambava, Commune Rurale Maroambihy, Fokontany Mandena",NA,Mandena,Mandena village,NA,village,Sherman,"house 013  ,trap 013",NA,-14.47612,49.8149,83,female,NA,NA,14,9,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,rural village,NA
NA,JPH202,23,7,2018,3,Rattus rattus,Rattus sp.,NA,"Madagascar, Région SAVA, District Sambava, Commune Rurale Maroambihy, Fokontany Mandena",NA,Mandena,Camp,NA,secondary_forest,Sherman,NA,NA,-14.46641,49.7987,139,female,330,169,31,17,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,seconday forest,NA
NA,JPH203,23,7,2018,3,Rattus rattus,Rattus sp.,NA,"Madagascar, Région SAVA, District Sambava, Commune Rurale Maroambihy, Fokontany Mandena",NA,Mandena,Beanamalao,NA,semi-intact_forest,Sherman,3,NA,-14.45842,49.79101,265,female,216,114,24,15,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,disturbed forest,NA
NA,JPH204,24,7,2018,3,Rattus rattus,Rattus sp.,NA,"Madagascar, Région SAVA, District Sambava, Commune Rurale Maroambihy, Fokontany Mandena",NA,Mandena,Mandena village,NA,village,Sherman,"house 019  ,trap 019",NA,-14.47641,49.8146,74,male,301,161,27,18,66,NA,NA,22,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,rural village,NA
NA,JPH205,24,7,2018,3,Rattus rattus,Rattus sp.,NA,"Madagascar, Région SAVA, District Sambava, Commune Rurale Maroambihy, Fokontany Mandena",NA,Mandena,Beanamalao,NA,semi-intact_forest,Sherman,73,NA,-14.45794,49.79139,271,male,202,115,25,14,19,NA,NA,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,disturbed forest,NA
NA,JPH206,24,7,2018,3,Rattus rattus,Rattus sp.,NA,"Madagascar, Région SAVA, District Sambava, Commune Rurale Maroambihy, Fokontany Mandena",NA,Mandena,Camp,NA,secondary_forest,Sherman,NA,NA,-14.46641,49.7987,139,male,276,144,29,17,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,seconday forest,NA
NA,JPH207,25,7,2018,3,Microgale brevicaudata,Microgale brevicaudata,NA,"Madagascar, Région SAVA, District Sambava, Commune Rurale Maroambihy, Fokontany Mandena",NA,Mandena,Rivomanana,NA,secondary_forest,Pitfall,10,low,-14.4676,49.79717,176,male,110,39,11,8,9,NA,NA,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,disturbed and secondary forest,NA
NA,JPH208,25,7,2018,3,Microgale brevicaudata,Microgale brevicaudata,NA,"Madagascar, Région SAVA, District Sambava, Commune Rurale Maroambihy, Fokontany Mandena",NA,Mandena,Rivomanana,NA,secondary_forest,Pitfall,10,high,-14.46659,49.79703,175,male,108,33,11,10,11.6,NA,NA,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,disturbed and secondary forest,NA
NA,JPH209,25,7,2018,3,Rattus rattus,Rattus sp.,NA,"Madagascar, Région SAVA, District Sambava, Commune Rurale Maroambihy, Fokontany Mandena",NA,Mandena,Mandena village,NA,village,Sherman,"house 019  ,trap 019",NA,-14.47641,49.8146,74,female,283,152,27,17,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,rural village,NA
