Name	Domain	Kingdom	Phylum	Class	Order	Family	Genus	Species	ASV
NC_taxa_10boot..1...i..1.8..1632	Eukaryota	Metazoa	Nematoda	Chromadorea	Strongylida	Haemonchidae	Haemonchus	Haemonchus_similis	ASV_2110
NC_taxa_10boot..1...i..1.8..1633	Eukaryota	Metazoa	Nematoda	Chromadorea	Rhabditida	NA	NA	NA	ASV_2117
NC_taxa_10boot..1...i..1.8..1634	Eukaryota	Metazoa	Nematoda	Chromadorea	Strongylida	Trichostrongylidae	Trichostrongylus	NA	ASV_2119
NC_taxa_10boot..1...i..1.8..1635	Eukaryota	Metazoa	Nematoda	Chromadorea	NA	NA	NA	NA	ASV_2120
NC_taxa_10boot..1...i..1.8..1636	Eukaryota	Metazoa	Nematoda	Chromadorea	Strongylida	Angiostrongylidae	Angiostrongylus	Angiostrongylus_cantonensis	ASV_2122
NC_taxa_10boot..1...i..1.8..1637	Eukaryota	Metazoa	Nematoda	Chromadorea	NA	NA	NA	NA	ASV_2124
NC_taxa_10boot..1...i..1.8..1638	Eukaryota	Metazoa	Nematoda	Chromadorea	Strongylida	Trichostrongylidae	Trichostrongylus	Trichostrongylus_axei	ASV_2129
NC_taxa_10boot..1...i..1.8..1639	Eukaryota	Metazoa	Nematoda	Chromadorea	Strongylida	Heligmonellidae	Nippostrongylus	Nippostrongylus_brasiliensis	ASV_2130
NC_taxa_10boot..1...i..1.8..1640	Eukaryota	Metazoa	Nematoda	Chromadorea	NA	NA	NA	NA	ASV_2131
NC_taxa_10boot..1...i..1.8..1641	Eukaryota	Metazoa	Nematoda	Chromadorea	NA	NA	NA	NA	ASV_2133
NC_taxa_10boot..1...i..1.8..1642	Eukaryota	Metazoa	Nematoda	Chromadorea	NA	NA	NA	NA	ASV_2134
NC_taxa_10boot..1...i..1.8..1643	Eukaryota	Metazoa	Nematoda	Chromadorea	NA	NA	NA	NA	ASV_2136
NC_taxa_10boot..1...i..1.8..1644	Eukaryota	Metazoa	Nematoda	Chromadorea	NA	NA	NA	NA	ASV_2139
NC_taxa_10boot..1...i..1.8..1645	Eukaryota	Metazoa	Nematoda	Chromadorea	Rhabditida	NA	NA	NA	ASV_2141
NC_taxa_10boot..1...i..1.8..1646	Eukaryota	Metazoa	Nematoda	Chromadorea	Strongylida	Ancylostomatidae	Ancylostoma	Ancylostoma_ceylanicum	ASV_2144
NC_taxa_10boot..1...i..1.8..1647	Eukaryota	Metazoa	Nematoda	Chromadorea	Strongylida	Ancylostomatidae	NA	NA	ASV_2145
NC_taxa_10boot..1...i..1.8..1648	Eukaryota	Metazoa	Nematoda	Chromadorea	NA	NA	NA	NA	ASV_2147
NC_taxa_10boot..1...i..1.8..1649	Eukaryota	Metazoa	Nematoda	Chromadorea	Strongylida	NA	NA	NA	ASV_2148
NC_taxa_10boot..1...i..1.8..1650	Eukaryota	Metazoa	Nematoda	Chromadorea	Rhabditida	NA	NA	NA	ASV_2150
