ASV,best_id,best_id_dada,NCBI_id,final_id,n,ASV_number,Parasite
ASV_2549,Oxyurida,Syphacia_obvelata,,Syphacia,1,2549,Y
ASV_9122,Tetratrichomonas,Tetratrichomonas,,Tetratrichomonas,1,9122,Y
ASV_601,Tritrichomonas,Tritrichomonas,,Tritrichomonas,11,601,Y
ASV_2571,Trichomitus,Trichomitus_batrachorum,,Trichomitus_batrachorum,2,2571,Y
ASV_6073,Tritrichomonas,Tritrichomonas,,Tritrichomonas,1,6073,Y
ASV_9619,Tetratrichomonas,Tetratrichomonas,,Tetratrichomonas,1,9619,Y
ASV_4135,Elev-18S-1089,Cryptosporidiidae_environmental_sample,,Apicomplexa,1,4135,M
ASV_6204,Tritrichomonas,Tritrichomonas,,Tritrichomonas,1,6204,Y
ASV_4278,Elev-18S-1089,Cryptosporidiidae_environmental_sample,,Apicomplexa,1,4278,M
ASV_4476,Elev-18S-1089,Cryptosporidiidae_environmental_sample,,Apicomplexa,1,4476,M
ASV_258,Hypotrichomonas,Hypotrichomonas_sanderai,,Hypotrichomonas,36,258,Y
ASV_625,Tritrichomonas,Tritrichomonas,,Tritrichomonas,7,625,Y
ASV_637,Tritrichomonas,Tritrichomonas,,Tritrichomonas,10,637,Y
ASV_2592,Eimeria,Eimeria_sp._ex_Apodemus_agrarius,,Eimeria,3,2592,Y
ASV_4561,Elev-18S-1089,Cryptosporidiidae_environmental_sample,,Apicomplexa,1,4561,M
ASV_6486,Tritrichomonas,Tritrichomonas,,Tritrichomonas,1,6486,Y
ASV_2597,Hypotrichomonas,Hypotrichomonas_sanderai,,Hypotrichomonas,1,2597,Y
ASV_660,Tritrichomonas,Tritrichomonas,,Tritrichomonas,3,660,Y
ASV_4617,Elev-18S-1089,Cryptosporidiidae_environmental_sample,,Apicomplexa,1,4617,M
ASV_2602,Hypotrichomonas,Hypotrichomonas_mariae,,Hypotrichomonas,1,2602,Y
ASV_4652,Elev-18S-1089,Cryptosporidiidae_environmental_sample,,Apicomplexa,1,4652,M
ASV_668,Tritrichomonas,Tritrichomonas,,Tritrichomonas,10,668,Y
ASV_674,Tritrichomonas,Tritrichomonas,,Tritrichomonas,14,674,Y
ASV_2216,Simplicimonas,Simplicimonas_similis,,Simplicimonas_similis,4,2216,Y
ASV_261,Cryptosporidium,Cryptosporidium,,Cryptosporidium,3,261,Y
ASV_4701,Elev-18S-1089,Cryptosporidiidae_environmental_sample,,Apicomplexa,1,4701,M
ASV_6796,Tritrichomonas,Tritrichomonas,,Tritrichomonas,1,6796,Y
ASV_683,Tritrichomonas,Tritrichomonas,,Tritrichomonas,3,683,Y
ASV_2617,Trichomitus,Trichomitus_batrachorum,,Trichomitus_batrachorum,2,2617,Y
ASV_4721,Elev-18S-1089,Cryptosporidiidae_environmental_sample,,Apicomplexa,1,4721,M
ASV_3438,unclassified_Trichomonadea,Trichomonadea,,Trichomonadea,2,3438,Y
ASV_4769,Elev-18S-1089,Cryptosporidiidae_environmental_sample,,Apicomplexa,1,4769,M
ASV_4649,unclassified_Trichomonadea,Tetratrichomonas,,Tetratrichomonas,1,4649,Y
ASV_2632,Spirurida,Spirurida,,Spirurida,1,2632,Y
ASV_2637,Eimeria,Eimeria,,Eimeria,2,2637,Y
ASV_2237,Simplicimonas,Simplicimonas_similis,,Simplicimonas_similis,1,2237,Y
ASV_69,Tritrichomonas,Tritrichomonas,,Tritrichomonas,25,69,Y
ASV_2647,Cyclophyllidea,Cyclophyllidea,,Cyclophyllidea,1,2647,Y
ASV_2650,Hypotrichomonas,Hypotrichomonas_sanderai,,Hypotrichomonas,1,2650,Y
ASV_9832,Tetratrichomonas,Tetratrichomonas,,Tetratrichomonas,1,9832,Y
ASV_2654,Eimeria,Eimeria,,Eimeria,1,2654,Y
ASV_4804,Elev-18S-1089,Cryptosporidiidae_environmental_sample,,Apicomplexa,1,4804,M
ASV_225,Simplicimonas,Simplicimonas_similis,,Simplicimonas_similis,40,225,Y
ASV_691,Tritrichomonas,Tritrichomonas,,Tritrichomonas,3,691,Y
ASV_2676,Hypotrichomonas,Hypotrichomonas_mariae,,Hypotrichomonas,2,2676,Y
ASV_4864,Elev-18S-1089,Apicomplexa,,Apicomplexa,1,4864,M
ASV_268,Eimeria,Eimeria_sp._ex_Apodemus_agrarius,,Eimeria,9,268,Y
ASV_4910,Elev-18S-1089,Cryptosporidiidae_environmental_sample,,Apicomplexa,1,4910,M
ASV_2683,Hypotrichomonas,Hypotrichomonas_imitans,,Hypotrichomonas,1,2683,Y
ASV_4970,Elev-18S-1089,Cryptosporidiidae_environmental_sample,,Apicomplexa,1,4970,M
ASV_5115,Elev-18S-1089,Cryptosporidiidae_environmental_sample,,Apicomplexa,1,5115,M
ASV_5161,Elev-18S-1089,Cryptosporidiidae_environmental_sample,,Apicomplexa,1,5161,M
ASV_2252,Simplicimonas,Simplicimonas_similis,,Simplicimonas_similis,3,2252,Y
ASV_2694,Eimeria,Eimeria_sp._ex_Apodemus_agrarius,,Eimeria,1,2694,Y
ASV_27,Ascaridida,Ascaridida,0,Ascaridida,5,27,Y
ASV_5293,Elev-18S-1089,Cryptosporidiidae_environmental_sample,,Apicomplexa,1,5293,M
ASV_702,Tritrichomonas,Tritrichomonas,,Tritrichomonas,10,702,Y
ASV_272,Eimeria,Eimeria,,Eimeria,14,272,Y
ASV_5331,Elev-18S-1089,Cryptosporidiidae_environmental_sample,,Apicomplexa,1,5331,M
ASV_726,Tritrichomonas,Tritrichomonas,,Tritrichomonas,4,726,Y
ASV_5714,Elev-18S-1089,Cryptosporidiidae_environmental_sample,,Apicomplexa,1,5714,M
