ASV,best_id,best_id_dada,NCBI_id,final_id,n,ASV_number,Parasite
ASV_341,Eimeria,Eimeria,,Eimeria,21,341,Y
ASV_3412,Trichomitus,Trichomitus_batrachorum,,Trichomitus_batrachorum,1,3412,Y
ASV_3413,Eimeria,Eimeria,,Eimeria,1,3413,Y
ASV_1098,Tritrichomonas,Tritrichomonas_muris,,Tritrichomonas,7,1098,Y
ASV_1099,Tritrichomonas,Tritrichomonas_muris,,Tritrichomonas,4,1099,Y
ASV_3423,Hypotrichomonas,Hypotrichomonas_sanderai,,Hypotrichomonas,1,3423,Y
ASV_1119,Tritrichomonas,Tritrichomonas_muris,,Tritrichomonas,11,1119,Y
ASV_1738,NA,Apicomplexa,,Apicomplexa,1,1738,M
ASV_3437,Cutaneotrichosporon,Cutaneotrichosporon,,Cutaneotrichosporon,1,3437,M
ASV_174,NA,Apicomplexa,,Apicomplexa,1,174,M
ASV_3439,Trichomitus,Trichomitus_batrachorum,,Trichomitus_batrachorum,1,3439,Y
ASV_3443,Hypotrichomonas,Hypotrichomonas_mariae,,Hypotrichomonas,2,3443,Y
ASV_1741,NA,Apicomplexa_sp._Phaedon_brassicae/Daegwallyeong,,Apicomplexa,1,1741,M
ASV_3449,Trichoderma,Trichoderma,,Trichoderma,1,3449,N
ASV_345,Eimeria,Eimeria_sp._ex_Mastomys_natalensis,,Eimeria,7,345,Y
ASV_1961,NA,Hypotrichomonas,,Hypotrichomonas,1,1961,Y
ASV_1142,Tritrichomonas,Tritrichomonas_muris,,Tritrichomonas,7,1142,Y
ASV_3463,Hypotrichomonas,Hypotrichomonas_sanderai,,Hypotrichomonas,1,3463,Y
ASV_347,Hypotrichomonas,Hypotrichomonas_sanderai,,Hypotrichomonas,13,347,Y
ASV_3479,Hypotrichomonas,Hypotrichomonas_sanderai,,Hypotrichomonas,1,3479,Y
ASV_349,Eimeria,Eimeria,,Eimeria,5,349,Y
ASV_1179,Tritrichomonas,Tritrichomonas_muris,,Tritrichomonas,3,1179,Y
ASV_3494,Hypotrichomonas,Hypotrichomonas_imitans,,Hypotrichomonas,1,3494,Y
ASV_3314,Tetratrichomonas,Tetratrichomonas_buttreyi,,Tetratrichomonas,1,3314,Y
ASV_2083,NA,Apicomplexa,,Apicomplexa,1,2083,M
ASV_118,Tritrichomonas,Tritrichomonas_muris,,Tritrichomonas,29,118,Y
ASV_3324,Tetratrichomonas,Tetratrichomonas_buttreyi,,Tetratrichomonas,2,3324,Y
ASV_2090,NA,Apicomplexa,,Apicomplexa,1,2090,M
ASV_2118,NA,Apicomplexa,,Apicomplexa,1,2118,M
ASV_2159,NA,Apicomplexa,,Apicomplexa,1,2159,M
ASV_1187,Tritrichomonas,Tritrichomonas_muris,,Tritrichomonas,5,1187,Y
ASV_3521,Eimeria,Eimeria,,Eimeria,1,3521,Y
ASV_2164,NA,Apicomplexa,,Apicomplexa,1,2164,M
ASV_3534,Neobalantidium,Neobalantidium_coli,,Neobalantidium_coli,1,3534,Y
ASV_2187,NA,Apicomplexa,,Apicomplexa,1,2187,M
ASV_3539,Hypotrichomonas,Hypotrichomonas_mariae,,Hypotrichomonas,2,3539,Y
ASV_2335,NA,Apicomplexa,,Apicomplexa,1,2335,M
ASV_2391,NA,SAR,,Eukaryota,1,2391,N
ASV_2829,Simplicimonas,Simplicimonas_similis,,Simplicimonas_similis,2,2829,Y
ASV_2410,NA,SAR,,Eukaryota,1,2410,N
ASV_2453,NA,Apicomplexa,,Apicomplexa,1,2453,M
ASV_1251,Tritrichomonas,Tritrichomonas_muris,,Tritrichomonas,1,1251,Y
ASV_3570,Tetratrichomonas,Tetratrichomonas_buttreyi,,Tetratrichomonas,1,3570,Y
ASV_12548,Tritrichomonas,Tritrichomonas_muris,,Tritrichomonas,1,12548,Y
ASV_3572,Hypotrichomonas,Hypotrichomonas_mariae,,Hypotrichomonas,1,3572,Y
ASV_3574,Hypotrichomonas,Hypotrichomonas_imitans,,Hypotrichomonas,1,3574,Y
ASV_2494,NA,Apicomplexa,,Apicomplexa,1,2494,M
ASV_2528,NA,Apicomplexa_sp._Phaedon_brassicae/Daegwallyeong,,Apicomplexa,1,2528,M
ASV_2578,NA,SAR,,Eukaryota,1,2578,N
ASV_359,Eimeria,Eimeria,,Eimeria,3,359,Y
ASV_3596,Eimeria,Eimeria_sp._ex_Apodemus_agrarius,,Eimeria,1,3596,Y
ASV_1260,Tritrichomonas,Tritrichomonas_muris,,Tritrichomonas,9,1260,Y
ASV_36,Hypotrichomonas,Hypotrichomonas_sanderai,,Hypotrichomonas,109,36,Y
ASV_3601,Hypotrichomonas,Hypotrichomonas_sanderai,,Hypotrichomonas,1,3601,Y
ASV_1294,Tritrichomonas,Tritrichomonas_muris,,Tritrichomonas,6,1294,Y
ASV_3608,Hexamastix,Hexamastix,,Hexamastix,1,3608,Y
ASV_2618,NA,Apicomplexa,,Apicomplexa,1,2618,M
ASV_3664,Tetratrichomonas,Tetratrichomonas_buttreyi,,Tetratrichomonas,1,3664,Y
ASV_2626,NA,Apicomplexa,,Apicomplexa,1,2626,M
ASV_2678,NA,Apicomplexa,,Apicomplexa,1,2678,M
ASV_12985,Tritrichomonas,Tritrichomonas_muris,,Tritrichomonas,1,12985,Y
ASV_2847,Simplicimonas,Simplicimonas_similis,,Simplicimonas_similis,2,2847,Y
ASV_2928,Simplicimonas,Simplicimonas_similis,,Simplicimonas_similis,3,2928,Y
ASV_2684,NA,Blastocystis_sp._OSU14,Blastocystis,Blastocystis,1,2684,Y
ASV_302,Simplicimonas,Simplicimonas_similis,,Simplicimonas_similis,29,302,Y
ASV_3030,Simplicimonas,Simplicimonas_similis,,Simplicimonas_similis,2,3030,Y
ASV_3655,Eimeria,Eimeria,,Eimeria,1,3655,Y
ASV_2893,NA,Apicomplexa,,Apicomplexa,1,2893,M
ASV_6604,unclassified_Trichomonadea,Tetratrichomonas_sp._MANI2,,Tetratrichomonas,1,6604,Y
ASV_366,Trichomitus,Trichomitus_batrachorum,,Trichomitus_batrachorum,14,366,Y
ASV_2924,NA,Eimeria_sp._ex_Apodemus_agrarius,,Eimeria,1,2924,Y
ASV_3922,Tetratrichomonas,Tetratrichomonas_buttreyi,,Tetratrichomonas,2,3922,Y
ASV_2957,NA,Apicomplexa_sp._Phaedon_brassicae/Daegwallyeong,,Apicomplexa,1,2957,M
ASV_1359,Tritrichomonas,Tritrichomonas_muris,,Tritrichomonas,4,1359,Y
ASV_3674,Eimeria,Eimeria_sp._ex_Apodemus_agrarius,,Eimeria,1,3674,Y
ASV_1396,Tritrichomonas,Tritrichomonas_muris,,Tritrichomonas,7,1396,Y
ASV_368,Cyclophyllidea,Hymenolepis_microstoma,,Hymenolepis_microstoma,4,368,Y
ASV_2972,NA,Eimeria,,Apicomplexa,1,2972,M
ASV_3083,NA,Apicomplexa_sp._Phaedon_brassicae/Daegwallyeong,,Apicomplexa,1,3083,M
ASV_3128,Simplicimonas,Simplicimonas_similis,,Simplicimonas_similis,1,3128,Y
ASV_7759,unclassified_Trichomonadea,Tetratrichomonas_sp._MANI2,,Tetratrichomonas,1,7759,Y
ASV_3097,NA,Apicomplexa,,Apicomplexa,1,3097,M
ASV_3134,NA,SAR,,Eukaryota,1,3134,N
ASV_3160,Simplicimonas,Simplicimonas_similis,,Simplicimonas_similis,1,3160,Y
ASV_1454,Tritrichomonas,Tritrichomonas_muris,,Tritrichomonas,3,1454,Y
ASV_3145,NA,Apicomplexa,,Apicomplexa,1,3145,M
ASV_3734,Oligacanthorhynchida,Moniliformis_moniliformis,,Moniliformis_moniliformis,2,3734,Y
ASV_1467,Tritrichomonas,Tritrichomonas_muris,,Tritrichomonas,2,1467,Y
ASV_3744,Cyclophyllidea,Hymenolepis_microstoma,,Hymenolepis_microstoma,1,3744,Y
ASV_3754,Eimeria,Eimeria_sp._ex_Apodemus_agrarius,,Eimeria,1,3754,Y
ASV_150,Tritrichomonas,Tritrichomonas_muris,,Tritrichomonas,49,150,Y
ASV_3760,Hypotrichomonas,Hypotrichomonas_mariae,,Hypotrichomonas,1,3760,Y
ASV_3169,NA,Apicomplexa,,Apicomplexa,1,3169,M
ASV_3187,NA,SAR,,Eukaryota,1,3187,N
ASV_1505,Tritrichomonas,Tritrichomonas_muris,,Tritrichomonas,2,1505,Y
ASV_1594,Tritrichomonas,Tritrichomonas_muris,,Tritrichomonas,4,1594,Y
ASV_3188,NA,SAR,,Eukaryota,1,3188,N
ASV_1616,Tritrichomonas,Tritrichomonas_muris,,Tritrichomonas,5,1616,Y
ASV_1693,Tritrichomonas,Tritrichomonas_muris,,Tritrichomonas,1,1693,Y
ASV_331,NA,Apicomplexa,,Apicomplexa,1,331,M
ASV_3795,Eimeria,Eimeria,,Eimeria,1,3795,Y
ASV_3335,NA,Entamoeba,,Entamoeba,1,3335,Y
ASV_3807,Hypotrichomonas,Hypotrichomonas_sanderai,,Hypotrichomonas,1,3807,Y
ASV_3814,Hypotrichomonas,Hypotrichomonas_imitans,,Hypotrichomonas,1,3814,Y
ASV_3391,NA,Apicomplexa,,Apicomplexa,1,3391,M
ASV_3818,Eimeria,Eimeria,,Eimeria,1,3818,Y
ASV_3243,Simplicimonas,Simplicimonas_similis,,Simplicimonas_similis,1,3243,Y
ASV_3392,NA,Apicomplexa_sp._Phaedon_brassicae/Daegwallyeong,,Apicomplexa,1,3392,M
ASV_383,Hypotrichomonas,Hypotrichomonas_imitans,,Hypotrichomonas,13,383,Y
ASV_3255,Simplicimonas,Simplicimonas_similis,,Simplicimonas_similis,2,3255,Y
ASV_3515,NA,Apicomplexa,,Apicomplexa,1,3515,M
ASV_3525,NA,Apicomplexa,,Apicomplexa,1,3525,M
ASV_1764,Tritrichomonas,Tritrichomonas_muris,,Tritrichomonas,1,1764,Y
ASV_3545,NA,Apicomplexa_sp._Phaedon_brassicae/Daegwallyeong,,Apicomplexa,1,3545,M
ASV_1808,Tritrichomonas,Tritrichomonas_muris,,Tritrichomonas,5,1808,Y
ASV_3850,Eimeria,Eimeria,,Eimeria,3,3850,Y
ASV_1831,Tritrichomonas,Tritrichomonas_muris,,Tritrichomonas,3,1831,Y
ASV_3554,NA,Apicomplexa_sp._Phaedon_brassicae/Daegwallyeong,,Apicomplexa,1,3554,M
ASV_3291,Simplicimonas,Simplicimonas_similis,,Simplicimonas_similis,2,3291,Y
ASV_386,Hypotrichomonas,Hypotrichomonas_mariae,,Hypotrichomonas,6,386,Y
ASV_3972,Tetratrichomonas,Tetratrichomonas_buttreyi,,Tetratrichomonas,1,3972,Y
ASV_3583,NA,Apicomplexa,,Apicomplexa,1,3583,M
ASV_3586,NA,Entamoeba,,Entamoeba,1,3586,Y
ASV_3884,Hypotrichomonas,Hypotrichomonas_imitans,,Hypotrichomonas,1,3884,Y
ASV_4208,Tetratrichomonas,Tetratrichomonas_buttreyi,,Tetratrichomonas,1,4208,Y
ASV_1924,Tritrichomonas,Tritrichomonas_muris,,Tritrichomonas,3,1924,Y
ASV_3627,NA,SAR,,Eukaryota,1,3627,N
ASV_3629,NA,Apicomplexa_sp._Phaedon_brassicae/Daegwallyeong,,Apicomplexa,1,3629,M
ASV_4237,Tetratrichomonas,Tetratrichomonas_buttreyi,,Tetratrichomonas,1,4237,Y
ASV_3923,Spirurida,Spirurida,,Spirurida,1,3923,Y
ASV_3301,Simplicimonas,Simplicimonas_similis,,Simplicimonas_similis,1,3301,Y
ASV_3693,NA,Apicomplexa,,Apicomplexa,1,3693,M
ASV_1971,Tritrichomonas,Tritrichomonas_muris,,Tritrichomonas,1,1971,Y
ASV_1974,Tritrichomonas,Tritrichomonas_muris,,Tritrichomonas,3,1974,Y
ASV_3943,Eimeria,Eimeria_sp._ex_Apodemus_agrarius,,Eimeria,1,3943,Y
ASV_1993,Tritrichomonas,Tritrichomonas_muris,,Tritrichomonas,4,1993,Y
ASV_3695,NA,SAR,,Eukaryota,1,3695,N
ASV_2066,Tritrichomonas,Tritrichomonas_muris,,Tritrichomonas,1,2066,Y
ASV_3801,NA,Cryptosporidium,,Apicomplexa,1,3801,M
ASV_392,NA,Apicomplexa,,Apicomplexa,1,392,M
ASV_4411,Tetratrichomonas,Tetratrichomonas_buttreyi,,Tetratrichomonas,1,4411,Y
ASV_335,Simplicimonas,Simplicimonas_similis,,Simplicimonas_similis,33,335,Y
ASV_3987,Cryptosporidium,Cryptosporidium_parvum,,Cryptosporidium,1,3987,Y
ASV_2099,Tritrichomonas,Tritrichomonas_muris,,Tritrichomonas,1,2099,Y
ASV_3993,Hypotrichomonas,Hypotrichomonas_mariae,,Hypotrichomonas,2,3993,Y
ASV_3362,Simplicimonas,Simplicimonas_similis,,Simplicimonas_similis,2,3362,Y
ASV_21,Tritrichomonas,Tritrichomonas_muris,,Tritrichomonas,134,21,Y
ASV_4003,NA,Apicomplexa,,Apicomplexa,1,4003,M
ASV_4021,NA,SAR,,Eukaryota,1,4021,N
ASV_2110,Tritrichomonas,Tritrichomonas_muris,,Tritrichomonas,3,2110,Y
ASV_4108,NA,Apicomplexa,,Apicomplexa,1,4108,M
ASV_4004,Cutaneotrichosporon,Cutaneotrichosporon,,Cutaneotrichosporon,1,4004,M
ASV_4012,Cryptosporidium,Cryptosporidium,,Cryptosporidium,2,4012,Y
ASV_7862,unclassified_Trichomonadea,Tetratrichomonas,,Tetratrichomonas,1,7862,Y
ASV_4198,NA,SAR,,Eukaryota,1,4198,N
ASV_3405,Simplicimonas,Simplicimonas_similis,,Simplicimonas_similis,1,3405,Y
ASV_4239,NA,Entamoeba,,Entamoeba,1,4239,Y
ASV_4268,NA,Entamoeba,,Entamoeba,1,4268,Y
ASV_355,Simplicimonas,Simplicimonas_similis,,Simplicimonas_similis,15,355,Y
ASV_4500,Tetratrichomonas,Tetratrichomonas_buttreyi,,Tetratrichomonas,1,4500,Y
ASV_215,Tritrichomonas,Tritrichomonas_muris,,Tritrichomonas,7,215,Y
ASV_219,Tritrichomonas,Tritrichomonas_muris,,Tritrichomonas,15,219,Y
ASV_4049,Eimeria,Eimeria,,Eimeria,1,4049,Y
ASV_2240,Tritrichomonas,Tritrichomonas_muris,,Tritrichomonas,1,2240,Y
ASV_3634,Simplicimonas,Simplicimonas_similis,,Simplicimonas_similis,1,3634,Y
ASV_4052,Spirurida,Spirurida,,Spirurida,1,4052,Y
ASV_2259,Tritrichomonas,Tritrichomonas_muris,,Tritrichomonas,1,2259,Y
ASV_4059,Eimeria,Eimeria_polita,,Eimeria,1,4059,Y
ASV_406,Eimeria,Eimeria_sp._ex_Apodemus_agrarius,,Eimeria,22,406,Y
ASV_4271,NA,Apicomplexa,,Apicomplexa,1,4271,M
ASV_3636,Simplicimonas,Simplicimonas_similis,,Simplicimonas_similis,2,3636,Y
ASV_4319,NA,SAR,,Eukaryota,1,4319,N
ASV_4075,Blastocystis,Blastocystis_hominis,,Blastocystis,1,4075,Y
ASV_4076,Hypotrichomonas,Hypotrichomonas_imitans,,Hypotrichomonas,1,4076,Y
ASV_4077,Hypotrichomonas,Hypotrichomonas_imitans,,Hypotrichomonas,1,4077,Y
ASV_4615,Tetratrichomonas,Tetratrichomonas_buttreyi,,Tetratrichomonas,1,4615,Y
ASV_4089,Trichomitus,Trichomitus_batrachorum,,Trichomitus_batrachorum,1,4089,Y
ASV_3649,Simplicimonas,Simplicimonas_similis,,Simplicimonas_similis,1,3649,Y
ASV_3652,Simplicimonas,Simplicimonas_similis,,Simplicimonas_similis,1,3652,Y
ASV_3688,Simplicimonas,Simplicimonas_similis,,Simplicimonas_similis,1,3688,Y
ASV_4337,NA,Apicomplexa,,Apicomplexa,1,4337,M
ASV_4376,NA,SAR,,Eukaryota,1,4376,N
ASV_411,unclassified_Trichomonadea,Pentatrichomonas_hominis,Pentatrichomonas_hominis,Pentatrichomonas_hominis,3,411,Y
ASV_2266,Tritrichomonas,Tritrichomonas_muris,,Tritrichomonas,2,2266,Y
ASV_4119,Cyclophyllidea,Hymenolepis_microstoma,,Hymenolepis_microstoma,1,4119,Y
ASV_4126,Eimeria,Eimeria,,Eimeria,2,4126,Y
ASV_4134,Eimeria,Eimeria,,Eimeria,1,4134,Y
ASV_4506,NA,Apicomplexa,,Apicomplexa,1,4506,M
ASV_4137,Eimeria,Eimeria,,Eimeria,2,4137,Y
ASV_2281,Tritrichomonas,Tritrichomonas_muris,,Tritrichomonas,4,2281,Y
ASV_2316,Tritrichomonas,Tritrichomonas_muris,,Tritrichomonas,2,2316,Y
ASV_452,NA,Apicomplexa,,Apicomplexa,1,452,M
ASV_2350,Tritrichomonas,Tritrichomonas_muris,,Tritrichomonas,3,2350,Y
ASV_4570,NA,Apicomplexa,,Apicomplexa,1,4570,M
ASV_4622,NA,Apicomplexa_sp._Phaedon_brassicae/Daegwallyeong,,Apicomplexa,1,4622,M
ASV_4180,Hypotrichomonas,Hypotrichomonas_sanderai,,Hypotrichomonas,1,4180,Y
ASV_4195,Cyclophyllidea,Hymenolepis_microstoma,,Hymenolepis_microstoma,2,4195,Y
ASV_4634,NA,Entamoeba,,Entamoeba,1,4634,Y
ASV_4201,Hypotrichomonas,Hypotrichomonas_sanderai,,Hypotrichomonas,1,4201,Y
ASV_4203,Eimeria,Eimeria,,Eimeria,1,4203,Y
ASV_4205,Eimeria,Eimeria_sp._ex_Apodemus_agrarius,,Eimeria,1,4205,Y
ASV_4868,Tetratrichomonas,Tetratrichomonas_buttreyi,,Tetratrichomonas,1,4868,Y
ASV_421,Eimeria,Eimeria_sp._ex_Apodemus_agrarius,,Eimeria,10,421,Y
ASV_2367,Tritrichomonas,Tritrichomonas_muris,,Tritrichomonas,2,2367,Y
ASV_2406,Tritrichomonas,Tritrichomonas_muris,,Tritrichomonas,3,2406,Y
ASV_5071,Tetratrichomonas,Tetratrichomonas_buttreyi,,Tetratrichomonas,1,5071,Y
ASV_467,NA,Rhabditida,Oscheius,Rhabditida,1,467,Y
ASV_424,Eimeria,Eimeria,,Eimeria,4,424,Y
ASV_425,Eimeria,Eimeria_sp._ex_Apodemus_agrarius,,Eimeria,25,425,Y
ASV_4250,Blastocystis,Blastocystis_sp._OSU14,,Blastocystis,1,4250,Y
ASV_4253,Hypotrichomonas,Hypotrichomonas_mariae,,Hypotrichomonas,1,4253,Y
ASV_4783,NA,SAR,,Eukaryota,1,4783,N
ASV_242,Tritrichomonas,Tritrichomonas_muris,,Tritrichomonas,22,242,Y
ASV_4262,Eimeria,Eimeria_sp._ex_Apodemus_agrarius,,Eimeria,2,4262,Y
ASV_4263,Eimeria,Eimeria,,Eimeria,1,4263,Y
ASV_4862,NA,Apicomplexa,,Apicomplexa,1,4862,M
ASV_4269,Hypotrichomonas,Hypotrichomonas_sanderai,,Hypotrichomonas,1,4269,Y
ASV_4948,NA,Apicomplexa,,Apicomplexa,1,4948,M
ASV_5018,NA,Apicomplexa,,Apicomplexa,1,5018,M
ASV_5027,NA,Apicomplexa,,Apicomplexa,1,5027,M
ASV_2548,Tritrichomonas,Tritrichomonas_muris,,Tritrichomonas,2,2548,Y
ASV_5075,NA,Entamoeba,,Entamoeba,1,5075,Y
ASV_2572,Tritrichomonas,Tritrichomonas_muris,,Tritrichomonas,1,2572,Y
ASV_43,Hypotrichomonas,Hypotrichomonas_sanderai,,Hypotrichomonas,76,43,Y
ASV_5079,NA,Eimeria,,Apicomplexa,1,5079,M
ASV_4321,Hypotrichomonas,Hypotrichomonas_sanderai,,Hypotrichomonas,1,4321,Y
ASV_4327,Eimeria,Eimeria,,Eimeria,1,4327,Y
ASV_2585,Tritrichomonas,Tritrichomonas_muris,,Tritrichomonas,1,2585,Y
ASV_5111,NA,Apicomplexa_sp._Phaedon_brassicae/Daegwallyeong,,Apicomplexa,1,5111,M
ASV_5119,NA,Rhabditida,,Rhabditida,1,5119,Y
ASV_5148,NA,Apicomplexa_sp._Phaedon_brassicae/Daegwallyeong,,Apicomplexa,1,5148,M
ASV_37,Simplicimonas,Simplicimonas_similis,,Simplicimonas_similis,83,37,Y
ASV_4352,Hypotrichomonas,Hypotrichomonas_imitans,,Hypotrichomonas,1,4352,Y
ASV_2606,Tritrichomonas,Tritrichomonas_muris,,Tritrichomonas,1,2606,Y
ASV_5165,NA,Amoebozoa,uncultured_eukaryote,Eukaryota,1,5165,N
ASV_5191,NA,SAR,,Eukaryota,1,5191,N
ASV_3820,Simplicimonas,Simplicimonas_similis,,Simplicimonas_similis,2,3820,Y
ASV_5193,NA,SAR,,Eukaryota,1,5193,N
ASV_5208,NA,Apicomplexa,,Apicomplexa,1,5208,M
ASV_3831,Simplicimonas,Simplicimonas_similis,,Simplicimonas_similis,1,3831,Y
ASV_5333,NA,Apicomplexa_sp._Phaedon_brassicae/Daegwallyeong,,Apicomplexa,1,5333,M
ASV_4410,Eimeria,Eimeria,,Eimeria,1,4410,Y
ASV_508,Tetratrichomonas,Tetratrichomonas_buttreyi,,Tetratrichomonas,5,508,Y
ASV_2616,Tritrichomonas,Tritrichomonas_muris,,Tritrichomonas,1,2616,Y
ASV_880,unclassified_Trichomonadea,Trichomonadea,,Trichomonadea,10,880,Y
ASV_4423,Oxyurida,Syphacia_obvelata,,Syphacia,1,4423,Y
ASV_4432,Eimeria,Eimeria,,Eimeria,1,4432,Y
ASV_2643,Tritrichomonas,Tritrichomonas_muris,,Tritrichomonas,1,2643,Y
ASV_4442,Eimeria,Eimeria,,Eimeria,1,4442,Y
ASV_4463,Eimeria,Eimeria_sp._ex_Apodemus_agrarius,,Eimeria,1,4463,Y
ASV_3856,Simplicimonas,Simplicimonas_similis,,Simplicimonas_similis,2,3856,Y
ASV_3983,Simplicimonas,Simplicimonas_similis,,Simplicimonas_similis,1,3983,Y
ASV_5347,NA,Apicomplexa_sp._Phaedon_brassicae/Daegwallyeong,,Apicomplexa,1,5347,M
ASV_3995,Simplicimonas,Simplicimonas_similis,,Simplicimonas_similis,1,3995,Y
ASV_4024,Simplicimonas,Simplicimonas_similis,,Simplicimonas_similis,2,4024,Y
ASV_4496,Trichomitus,Trichomitus_batrachorum,,Trichomitus_batrachorum,1,4496,Y
ASV_5169,Tetratrichomonas,Tetratrichomonas_buttreyi,,Tetratrichomonas,1,5169,Y
ASV_4042,Simplicimonas,Simplicimonas_similis,,Simplicimonas_similis,1,4042,Y
ASV_5348,NA,Apicomplexa,,Apicomplexa,1,5348,M
ASV_5238,Tetratrichomonas,Tetratrichomonas_buttreyi,,Tetratrichomonas,1,5238,Y
ASV_5367,NA,Apicomplexa,,Apicomplexa,1,5367,M
ASV_5419,NA,SAR,,Eukaryota,1,5419,N
ASV_5651,NA,Entamoeba,,Entamoeba,1,5651,Y
ASV_4521,Hypotrichomonas,Hypotrichomonas_sanderai,,Hypotrichomonas,1,4521,Y
ASV_2673,Tritrichomonas,Tritrichomonas_muris,,Tritrichomonas,1,2673,Y
ASV_5942,NA,Apicomplexa,,Apicomplexa,1,5942,M
ASV_2722,Tritrichomonas,Tritrichomonas_muris,,Tritrichomonas,1,2722,Y
ASV_6035,NA,Apicomplexa_sp._Phaedon_brassicae/Daegwallyeong,,Apicomplexa,1,6035,M
ASV_6040,NA,Apicomplexa,,Apicomplexa,1,6040,M
ASV_407,Simplicimonas,Simplicimonas_similis,,Simplicimonas_similis,28,407,Y
ASV_6152,NA,Apicomplexa,,Apicomplexa,1,6152,M
ASV_6195,NA,Entamoeba,,Entamoeba,1,6195,Y
ASV_6228,NA,Apicomplexa,,Apicomplexa,1,6228,M
ASV_623,NA,Apicomplexa,,Apicomplexa,1,623,M
ASV_4093,Simplicimonas,Simplicimonas_similis,,Simplicimonas_similis,1,4093,Y
ASV_4094,Simplicimonas,Simplicimonas_similis,,Simplicimonas_similis,1,4094,Y
ASV_4095,Simplicimonas,Simplicimonas_similis,,Simplicimonas_similis,1,4095,Y
ASV_4600,Eimeria,Eimeria,,Eimeria,1,4600,Y
ASV_5377,Tetratrichomonas,Tetratrichomonas_buttreyi,,Tetratrichomonas,1,5377,Y
ASV_1575,unclassified_Trichosporonaceae,Cutaneotrichosporon,,Cutaneotrichosporon,4,1575,M
ASV_461,Trichocephalida,Trichuris_trichiura_(human_whipworm),Trichuris_trichiura,Trichuris_trichiura,1,461,Y
ASV_6252,NA,Cryptosporidium,,Apicomplexa,1,6252,M
ASV_5421,Tetratrichomonas,Tetratrichomonas_buttreyi,,Tetratrichomonas,1,5421,Y
ASV_4616,Hypotrichomonas,Hypotrichomonas_sanderai,,Hypotrichomonas,1,4616,Y
ASV_6259,NA,Apicomplexa,,Apicomplexa,1,6259,M
ASV_6393,NA,Apicomplexa,,Apicomplexa,1,6393,M
ASV_2752,Tritrichomonas,Tritrichomonas_muris,,Tritrichomonas,1,2752,Y
ASV_6535,NA,Apicomplexa_sp._Phaedon_brassicae/Daegwallyeong,,Apicomplexa,1,6535,M
ASV_435,Simplicimonas,Simplicimonas_similis,,Simplicimonas_similis,24,435,Y
ASV_283,Tritrichomonas,Tritrichomonas_muris,,Tritrichomonas,10,283,Y
ASV_4642,Hypotrichomonas,Hypotrichomonas_mariae,,Hypotrichomonas,1,4642,Y
ASV_2938,Tritrichomonas,Tritrichomonas_muris,,Tritrichomonas,1,2938,Y
ASV_4645,Eimeria,Eimeria,,Eimeria,2,4645,Y
ASV_658,NA,Apicomplexa,,Apicomplexa,1,658,M
ASV_4374,Simplicimonas,Simplicimonas_similis,,Simplicimonas_similis,1,4374,Y
ASV_1680,unclassified_Trichosporonaceae,Cutaneotrichosporon,,Cutaneotrichosporon,3,1680,M
ASV_465,Hypotrichomonas,Hypotrichomonas_sanderai,,Hypotrichomonas,14,465,Y
ASV_3025,Tritrichomonas,Tritrichomonas_muris,,Tritrichomonas,1,3025,Y
ASV_6661,NA,Apicomplexa,,Apicomplexa,1,6661,M
ASV_4659,Cyclophyllidea,Hymenolepis_microstoma,,Hymenolepis_microstoma,1,4659,Y
ASV_4660,Eimeria,Eimeria_myoxi,,Eimeria,1,4660,Y
ASV_6711,NA,Apicomplexa,,Apicomplexa,1,6711,M
ASV_6805,NA,Eimeria_sp._ex_Apodemus_agrarius,,Eimeria,1,6805,Y
ASV_6830,NA,Apicomplexa_sp._Phaedon_brassicae/Daegwallyeong,,Apicomplexa,1,6830,M
ASV_4673,Eimeria,Eimeria,,Eimeria,1,4673,Y
ASV_5488,Tetratrichomonas,Tetratrichomonas_buttreyi,,Tetratrichomonas,1,5488,Y
ASV_6942,NA,Entamoeba,,Entamoeba,1,6942,Y
ASV_3285,Tritrichomonas,Tritrichomonas_muris,,Tritrichomonas,1,3285,Y
ASV_4691,Eimeria,Eimeria,,Eimeria,1,4691,Y
ASV_342,Tritrichomonas,Tritrichomonas_muris,,Tritrichomonas,17,342,Y
ASV_470,Eimeria,Eimeria,,Eimeria,15,470,Y
ASV_6981,NA,Apicomplexa,,Apicomplexa,1,6981,M
ASV_7279,NA,Apicomplexa,,Apicomplexa,1,7279,M
ASV_4709,Eimeria,Eimeria_sp._ex_Apodemus_agrarius,,Eimeria,1,4709,Y
ASV_732,NA,Apicomplexa,,Apicomplexa,1,732,M
ASV_7432,NA,Apicomplexa_sp._Phaedon_brassicae/Daegwallyeong,,Apicomplexa,1,7432,M
ASV_3422,Tritrichomonas,Tritrichomonas_muris,,Tritrichomonas,1,3422,Y
ASV_7520,NA,Apicomplexa,,Apicomplexa,1,7520,M
ASV_346,Tritrichomonas,Tritrichomonas_muris,,Tritrichomonas,16,346,Y
ASV_7526,NA,Apicomplexa,,Apicomplexa,1,7526,M
ASV_4388,Simplicimonas,Simplicimonas_similis,,Simplicimonas_similis,1,4388,Y
ASV_7533,NA,SAR,,Eukaryota,1,7533,N
ASV_7604,NA,Eimeria,,Apicomplexa,1,7604,M
ASV_3603,Tritrichomonas,Tritrichomonas_muris,,Tritrichomonas,2,3603,Y
